,texts
14114,"['unfortunately', 'responsibility', 'protect', 'sometimes', 'erroneously', 'understood', 'justification', 'use', 'arms', 'reality', 'means', 'something', 'quite', 'different']"
14115,"['profound', 'urgent', 'spirit', 'solidarity', 'calls', 'upon', 'everyone', 'starting', 'heads', 'state', 'understand', 'responsibilities', 'regard', 'serious', 'humanitarian', 'crises', 'wherever', 'occur', 'commit', 'ensuring', 'emergency', 'measures', 'put', 'place', '—', 'diplomatic', 'economic', 'measures', 'related', 'public', 'opinion', 'well', 'mechanisms', 'stipulated', 'charter', 'united', 'nations', '—', 'arrive', 'effective', 'solution']"
14116,"['provide', 'continuity', 'ongoing', 'debate', 'responsibility', 'protect', 'would', 'good', 'idea', 'consider', 'ways', 'explicitly', 'include', 'concept', 'mandate', 'security', 'council', 'article', '24', 'charter', 'possibly', 'article', '39']"
14117,"['context', 'syrian', 'tragedy', 'challenge', 'opportunity', 'united', 'nations', 'breathe', 'new', 'life', 'bodies', 'mechanisms', 'procedures', 'specific', 'creative', 'positive', 'manner']"
14118,"['regard', 'must', 'welcome', 'unanimous', 'adoption', 'security', 'council', 'resolution', '2118', '2013', '27', 'september']"
14119,"['delegation', 'hopes', 'agreement', 'reached', 'document', 'provide', 'definite', 'impetus', 'geneva', 'process', 'make', 'finally', 'possible', 'restore', 'stability', 'bring', 'reconciliation', 'country']"
14120,"['peaceful', 'lasting', 'solution', 'conflict', 'syria', 'would', 'set', 'significant', 'precedent', 'upcoming', 'century', 'would', 'indicate', 'path', 'taken', 'addressing', 'conflicts', 'international', 'community', 'yet', 'able', 'resolve']"
14121,"['would', 'greatly', 'facilitate', 'inclusion', 'principle', 'responsibility', 'protect', 'charter', 'united', 'nations']"
14122,"['generally', 'point', 'view', 'economic', 'social', 'development', 'would', 'clear', 'demonstration', 'undertake', 'honesty', 'effectiveness', 'path', 'sustainable', 'development', 'post2015']"
14123,"['pope', 'francis', 'prophetic', 'words', 'actions', '7', 'september', 'launched', 'huge', 'global', 'movement', 'prayer', 'peace', 'results', 'immediately', 'clear', 'public', '’', 'spontaneous', 'sincere', 'support', 'goal']"
14124,"['scope', 'effort', 'went', 'beyond', 'differences', 'religion', 'culture', 'nationality', 'geographical', 'origin', 'exerted', 'strong', 'influence', 'world', 'leaders']"
14125,"['accompanying', 'holy', 'father', 'leadership', 'competent', 'authorities', 'holy', 'see', 'also', 'took', 'diplomatic', 'action', 'aimed', 'stopping', 'violence', 'promoting', 'dialogue', 'parties', 'involved', 'conflict', 'thereby', 'putting', 'practice', 'one', 'main', 'goals', 'international', 'presence']"
14126,"['along', 'pope', 'line', 'theme', 'session', 'would', 'like', 'reiterate', 'general', 'debate', 'war', 'specific', 'refusal', 'commit', 'achievement', 'major', 'social', 'economic', 'goals', 'international', 'community', 'set']"
14127,"['indeed', 'economic', 'development', 'without', 'peace']"
14128,"['armed', 'conflict', 'never', 'leads', 'peace', 'crucial', 'development']"
14129,"['holy', 'see', 'believes', 'line', 'theological', 'ethical', 'teaching', 'catholic', 'church', 'evils', 'injustices', 'war', 'entails', 'must', 'everything', 'possible', 'avoid']"
14130,"['also', 'church', 'strongly', 'urges', 'everyone', 'pray', 'act', 'divine', 'goodness', 'frees', 'us', 'ancient', 'bondage', 'war']"
14131,"['delegation', 'recalling', 'ethical', 'principles', 'inspire', 'animate', 'international', 'activity', 'holy', 'see', 'ambition', 'make', 'contribution', 'moral', 'nature', 'session', 'general', 'assembly', 'time', 'expressing', 'recognition', 'work', 'done', 'various', 'bodies', 'united', 'nations', 'agencies', 'relieve', 'suffering', 'caused', 'syrian', 'crisis', 'conflict', 'situations']"
14132,"['encourage', 'continue', 'humanitarian', 'work']"
14133,"['delegation', 'also', 'strongly', 'appeals', 'member', 'states', 'exercise', 'responsibility']"
14134,"['peace', 'come', 'objectives', 'comprehensive', 'human', 'development', 'inhabitant', 'earth', 'especially', 'weakest', 'voice', 'representation', 'achieved', 'every', 'state', 'capable', 'fully', 'assuming', 'responsibilities', 'common', 'good']"
14135,"['great', 'pleasure', 'participating', 'current', 'session', 'general', 'assembly', 'discuss', 'vital', 'issue', 'post', '2015', 'sustainable', 'development', 'achievement', 'goals', 'hope', 'able', 'accomplish']"
14136,"['overcome', 'serious', 'consequences', 'economic', 'political', 'social', 'policies', 'pursued', 'former', 'regime', 'based', 'scientific', 'grounds', 'regime', '’', 'personal', 'reckless', 'whims', 'iraq', 'sought', 'translate', 'agreed', 'upon', 'world', 'leaders', '2000', 'notably', 'development', 'goals', 'practical', 'concrete', 'steps']"
14137,"['adopting', 'plans', 'strategies', 'enacting', 'laws', 'provide', 'necessary', 'mechanisms', 'iraq', 'endeavoured', 'achieve', 'essence', 'sustainable', 'development', 'namely', 'integration', 'three', 'dimensions', 'economic', 'environmental', 'social']"
14138,"['iraq', 'working', 'financial', 'monetary', 'policies', 'increase', 'financial', 'flows', 'public', 'budget', 'expected', 'reach', 'approximately', '150', 'billion', '2015', '40', 'per', 'cent', 'envisioned', 'allocated', 'requisite', 'investment', 'expenditure', 'order', 'provide', 'basic', 'services', 'improve', 'infrastructure', 'strengthen', 'iraqi', 'economy']"
14139,"['iraq', 'expected', 'achieve', 'steady', 'growth', 'economic', 'sectors', '20132017', 'development', 'plan']"
14140,"['however', 'oil', 'still', 'main', 'engine', 'driving', 'sectors', 'thanks', 'iraq', '’', 'abundant', 'oil', 'gas', 'reserves', 'surpass', 'confirmed', 'reserve', 'estimates', 'large', 'margin']"
14141,"['estimates', 'put', 'potential', 'extractable', 'oil', 'reserves', '250', 'billion', 'barrels', 'gas', '250', 'trillion', 'cubic', 'feet']"
14142,"['expect', 'double', 'oil', 'production', 'end', '20132017', 'development', 'plan', 'steady', 'increase', 'oil', 'exports', 'expected', 'reach', 'approximately', '3750000', 'barrels', 'per', 'day', '2015']"
14143,"['therefore', '2010', '2014', 'development', 'plan', 'focuses', 'environmental', 'sustainability', 'green', 'economy', 'iraq']"
14144,"['strategic', 'goals', 'identified', 'aforementioned', 'plan', '20132017', 'national', 'development', 'plan', 'recently', 'approved', 'council', 'ministers', 'follows', 'first', 'poverty', 'alleviation', 'strategy', 'adopted', 'one', 'components', 'attainment', 'sustainable', 'development']"
14145,"['poverty', 'rate', 'fell', '23', 'per', 'cent', '2007', '19', 'per', 'cent', '2012', 'hoped', 'fall', '16', 'per', 'cent', '2017']"
14146,"['second', 'unemployment', 'rate', 'reduced', '15', 'per', 'cent', '2007', '11', 'per', 'cent', '2012', 'expected', 'decline', '6', 'per', 'cent', '2017']"
14147,"['third', 'average', 'per', 'capita', 'income', 'increased', '3000', '2009', 'nearly', '6000', '2012', 'annual', 'growth', 'rate', '159', 'per', 'cent', 'clearly', 'indicating', 'noticeable', 'economic', 'progress']"
14148,"['fourth', 'infant', 'mortality', 'must', 'reduced', '18', 'deaths', 'per', '1000', 'births', '2017']"
14149,"['noteworthy', 'figures', 'fell', '32', 'deaths', 'per', '1000', 'births', '2011', '22', 'deaths', 'per', '1000', 'births', '2013']"
14150,"['plan', 'also', 'aims', 'reducing', 'mortality', 'rate', 'children', 'five', 'years', 'age', '24', 'deaths', 'per', '1000', 'live', 'births', '2017', 'following', 'decline', '37', '2011', '28', 'deaths', '2013']"
14151,"['fifth', 'primary', 'school', 'enrolment', 'must', 'increase', '95', 'per', 'cent', '2017', '2012', 'figure', '92', 'per', 'cent']"
14152,"['sixth', 'plan', 'focuses', 'increasing', 'secondary', 'school', 'enrolment', '40', 'per', 'cent', 'universities', '20', 'per', 'cent', '2017']"
14153,"['seventh', 'plan', 'works', 'curb', 'desertification', 'expansion', 'land', 'reclamation', 'approximately', '4', 'million', 'dunums', 'reclaimed']"
14154,"['hope', 'reclaim', '25', 'million', 'additional', 'dunums', 'end', 'plan']"
14155,"['eighth', 'also', 'advocates', 'utilizing', 'modern', 'techniques', 'irrigation', 'increasing', 'latent', 'energy', 'water', 'resources', 'focusing', 'economic', 'exploitation', 'thereof']"
14156,"['ninth', 'plans', 'minimize', 'quantities', 'burned', 'gases', 'associated', 'oil', 'production', 'devising', 'plans', 'full', 'investment', 'therein', '2015']"
14157,"['tenth', 'hoped', 'beginning', 'implementation', 'housing', 'programme', 'poor', 'limitedincome', 'people', '1', 'million', 'housing', 'units', 'available', 'end', 'plan']"
14158,"['eleventh', 'plan', 'also', 'includes', 'achieving', 'self', 'sufficiency', 'terms', 'electricity', 'production', 'envisioned', 'reach', '22000', 'megawatts', '2015']"
14159,"['means', '15', 'per', 'cent', 'surplus', 'peak', 'consumption', 'production', 'electricity', '2003', 'around', '2500', 'megawatts']"
14160,"['connection', 'deem', 'necessary', 'emphasize', 'following', 'significant', 'points', 'sixtyeighth', 'session']"
14161,"['first', 'iraq', 'calls', 'strengthened', 'international', 'cooperation', 'particularly', 'southsouth', 'cooperation', 'call', 'upon', 'international', 'community', 'fulfil', 'financial', 'obligations', 'relation', 'achieving', 'sustainable', 'development']"
14162,"['second', 'favour', 'facilitating', 'transfer', 'technology', 'developing', 'countries', 'reduce', 'gap', 'developed', 'world', 'contribute', 'solving', 'problems', 'caused', 'global', 'warming', 'climate', 'change']"
14163,"['third', 'aim', 'address', 'problems', 'caused', 'water', 'scarcity', 'destabilized', 'certain', 'regions', 'world', 'stress', 'need', 'determine', 'fair', 'water', 'quotas', 'among', 'riparian', 'states', 'international', 'rivers']"
14164,"['fourth', 'want', 'extend', 'special', 'support', 'people', 'suffering', 'effects', 'international', 'conflict', 'international', 'economic', 'sanctions', 'constitute', 'significant', 'obstacles', 'attainment', 'sustainable', 'development']"
14165,"['fifth', 'intend', 'appropriately', 'address', 'pressures', 'caused', 'unsustainable', 'production', 'consumption', 'patterns', 'particularly', 'areas', 'deforestation', 'water', 'scarcity', 'food', 'waste', 'elevated', 'carbon', 'emissions']"
14166,"['sixth', 'focus', 'building', 'effective', 'accountable', 'institutions', 'promoting', 'rule', 'law', 'property', 'rights', 'freedom', 'expression', 'information', 'addition', 'administration', 'justice', 'fight', 'corruption']"
14167,"['seventh', 'want', 'ensure', 'post2015', 'plan', 'underpinned', 'new', 'spirit', 'solidarity', 'responsibility', 'cooperation', 'integration', 'built', 'common', 'understanding', 'humanity', 'mutual', 'respect', 'involvement', 'participants', 'among', 'women', 'poor', 'civil', 'society', 'local', 'governments', 'academia', 'philanthropic', 'institutions', 'charities']"
14168,"['eighth', 'advocate', 'need', 'governments', 'play', 'leading', 'role', 'field', 'education', 'need', 'recognize', 'education', 'shared', 'responsibility', 'families', 'local', 'communities', 'civil', 'society', 'organizations', 'must', 'contribute', 'improvement', 'development', 'education', 'ways', 'means']"
14169,"['ninth', 'addition', 'securing', 'international', 'cooperation', 'integration', 'help', 'address', 'issues', 'sustainable', 'development', 'fight', 'extreme', 'poverty', 'hope', 'include', 'one', 'priorities', 'achievement', 'objectives', 'sustainable', 'development', 'beyond', '2015', 'elimination', 'violence', 'women', 'achieve', 'gender', 'equality', 'appropriate', 'work', 'decisionmaking', 'positions', 'well', 'comprehensive', 'economic', 'social', 'security', 'tenth', 'stress', 'importance', 'existing', 'standards', 'field', 'human', 'rights', 'right', 'compensation', 'victims', 'equity', 'cases', 'human', 'rights', 'violations']"
14170,"['eleventh', 'look', 'forward', 'completion', 'tasks', 'working', 'group', 'came', 'united', 'nations', 'conference', 'sustainable', 'development', 'financing', 'development', 'well', 'creation', 'sound', 'foundations', 'field', 'financing', 'sustainable', 'development', 'goals', 'post2015', 'development', 'agenda', 'sustainable', 'predictable', 'fashion']"
14171,"['must', 'stress', 'however', 'pre2015', 'post', '2015', 'development', 'attainable', 'existence', 'organized', 'terrorism', 'thrives', 'blood', 'innocents', 'claims', 'lives']"
14172,"['scourge', 'adopted', 'extremism', 'approach', 'death', 'craft', 'violence', 'means', 'hatred', 'culture', 'senseless', 'indiscriminate', 'murder', 'hobby', 'pastime']"
14173,"['phenomenon', 'calls', 'strict', 'pragmatic', 'stance', 'entire', 'world', 'face', 'terrorism', '’', 'brutal', 'ferocious', 'crazed', 'destructive', 'attacks']"
14174,"['international', 'cooperation', 'must', 'seek', 'dry', 'financial', 'intellectual', 'armament', 'resources', 'terrorism', 'save', 'humanity', 'scourge', 'universe', 'effects', 'dangers', 'harm', 'inflicts']"
14175,"['also', 'wish', 'reiterate', 'sustainable', 'development', 'achieved', 'drums', 'war', 'beating', 'one', 'place', 'world', 'concepts', 'peace', 'development', 'life', 'upheld', 'conjunction', 'bring', 'death', 'war', 'genocide']"
14176,"['development', 'achieved', 'absence', 'peace', 'security']"
14177,"['therefore', 'political', 'stability', 'social', 'development', 'without', 'peaceful', 'coexistence', 'security', 'stability', 'human', 'beings', 'rest', 'shelter']"
14178,"['backdrop', 'iraq', 'reiterates', 'calls', 'initiatives', 'peaceful', 'solution', 'every', 'land', 'gunfire', 'bloodshed', 'smell', 'death', 'prevail', 'people', 'witness', 'scenes', 'destruction']"
14179,"['logic', 'force', 'produce', 'peace', 'instruments', 'death', 'war', 'mills', 'bring', 'security', 'create', 'development', 'growth']"
14180,"['hence', 'iraq', 'whose', 'people', 'suffered', 'tremendously', 'horrors', 'war', 'caused', 'recklessness', 'folly', 'defunct', 'saddam', 'regime', 'deeply', 'concerned', 'worsening', 'events', 'tense', 'situation', 'borders', 'syria', 'country', 'borders', '600', 'kilometres', 'long']"
14181,"['consider', 'syrian', 'armed', 'conflict', 'serious', 'threat', 'security', 'stability', 'integrity', 'land', 'people']"
14182,"['reason', 'insist', 'putting', 'forward', 'initiative', 'resolve', 'syrian', 'crisis', 'politically', 'order', 'avoid', 'devastating', 'humanitarian', 'disaster', 'unfolding', 'neighbouring', 'country', 'borders', 'could', 'undermine', 'aspects', 'development', 'stability', 'prosperity', 'states', 'aspire', 'achieve', 'vitally', 'important', 'region']"
14183,"['therefore', 'invite', 'assembly', 'support', 'iraqi', 'initiative', 'effort', 'ensure', 'peace', 'security', 'stability']"
14184,"['otherwise', 'developments', 'region', 'could', 'take', 'unpredictable', 'turn']"
14185,"['region', 'beleaguered', 'concerns', 'regional', 'largescale', 'wars', 'may', 'erupt', 'triggered', 'small', 'spark']"
14186,"['one', 'guess', 'scale', 'trends', 'trajectory', 'duration', 'conflicts']"
14187,"['hope', 'sustainable', 'development', 'stability', 'prosperity', 'region', 'already', 'fragile', 'volatile', 'explosive', 'complex']"
14188,"['message', 'government', 'people', 'iraq', 'assembly']"
14189,"['aftermath', 'fall', 'dictatorial', 'regime', 'iraq', 'opted', 'democratic', 'mechanisms', 'sole', 'means', 'ensuring', 'peaceful', 'rotation', 'power', 'believe', 'freedom', 'dignity', 'rights', 'human', 'beings']"
14190,"['adopted', 'opendoor', 'foreign', 'policy', 'relations', 'international', 'community', 'always', 'looking', 'common', 'denominators', 'overcome', 'disagreement', 'positive', 'dialogue', 'based', 'justice', 'responsible', 'involvement', 'neighbouring', 'countries', 'region', 'world']"
14191,"['firmly', 'convinced', 'peaceful', 'solutions', 'effective', 'means', 'settle', 'problems', 'peoples', 'nations', 'governments']"
14192,"['reject', 'violence', 'terrorism', 'aggression', 'irrespective', 'sources']"
14193,"['internally', 'called', 'tolerance', 'national', 'reconciliation', 'cooperation', 'view', 'attaining', 'communal', 'coexistence', 'social', 'peace', 'stability', 'prosperity']"
14194,"['principles', 'formally', 'adopted', 'national', 'conference', 'social', 'peace', 'held', 'recently', 'baghdad', 'signed', 'code', 'national', 'honour', 'iraq', '’', 'leaders', 'national', 'representatives']"
14195,"['iraq', 'suffered', 'two', 'decades', 'international', 'sanctions', 'invasion', 'brotherly', 'kuwait', 'previous', 'regime']"
14196,"['however', 'today', 'new', 'iraq', 'managed', 'cooperation', 'international', 'community', 'development', 'goodneighbourly', 'relations', 'kuwait', 'overcome', 'effects', 'sanctions']"
14197,"['furthermore', 'iraq', 'worked', 'security', 'council', 'towards', 'adoption', 'resolution', '2107', '2013', '27', 'june', '2013', 'put', 'end', 'iraq', '’', 'obligations', 'chapter', 'vii', 'charter', 'united', 'nations']"
14198,"['thus', 'crises', 'problems', 'suffered', 'two', 'brotherly', 'countries', 'iraq', 'kuwait', 'part', 'past']"
14199,"['today', 'look', 'forward', 'together', 'developing', 'new', 'relations', 'springboard', 'solid', 'foundation', 'prosperous', 'future', 'generations', 'come', 'positive', 'effects', 'entire', 'region']"
14200,"['faith', 'humankind', 'preclude', 'us', 'taking', 'cause', 'oppressed', 'disadvantaged', 'vulnerable', 'showing', 'solidarity', 'causes', 'arab', 'islamic', 'nation', 'raising', 'voices', 'defence', 'rights', 'humanity', 'causes']"
14201,"['foremost', 'among', 'cause', 'palestinian', 'people', 'still', 'suffering', 'systematic', 'oppression', 'ongoing', 'settlement', 'activities', 'violate', 'rights', 'threaten', 'identity', 'existence']"
14202,"['situation', 'requires', 'world', 'international', 'institutions', 'assume', 'due', 'roles', 'responsibilities', 'stand', 'people', 'seek', 'realization', 'rights', 'freedom', 'justice', 'independence', 'establishment', 'viable', 'palestinian', 'state', 'without', 'middle', 'east', 'region', 'remain', 'prone', 'tension', 'instability']"
14203,"['sake', 'middle', 'east', 'living', 'peace', 'security', 'reiterate', 'call', 'establishment', 'middle', 'east', 'free', 'nuclear', 'weapons', 'emphasis', 'need', 'hold', 'helsinki', 'conference', 'establishment', 'nuclearweaponfree', 'zone', 'soon', 'possible']"
14204,"['failure', 'international', 'efforts', 'area', 'would', 'adversely', 'affect', 'credibility', 'treaty', 'nonproliferation', 'nuclear', 'weapons', 'turn', 'could', 'lead', 'arms', 'race', 'raising', 'levels', 'violence', 'tension', 'instability']"
14205,"['united', 'nations', 'agreed', 'forum', 'international', 'cooperation', 'address', 'problems', 'challenges', 'face', 'multilateral', 'negotiations', 'believe', 'time', 'come', 'reform', 'bodies', 'particular', 'security', 'council', 'primary', 'body', 'responsible', 'international', 'peace', 'security', 'order', 'make', 'consistent', 'aspirations', 'peoples', 'world', 'twenty', 'first', 'century', 'representative', 'transparent', 'able', 'meet', 'challenges', 'face']"
14206,"['conclusion', 'take', 'opportunity', 'express', 'behalf', 'iraqi', 'people', 'sincere', 'thanks', 'profound', 'appreciation', 'contributed', 'helping', 'iraq', 'lift', 'burden', 'chapter', 'vii', 'shoulders']"
14207,"['wish', 'every', 'nation', 'world', 'free', 'safe', 'secure', 'life', 'dignity', 'promising', 'prosperous', 'future']"
14208,"['peace', 'upon', 'assembly']"
14209,"['allow', 'first', 'congratulate', 'mr', 'john', 'ashe', 'antigua', 'barbuda', 'assuming', 'presidency', 'general', 'assembly', 'session']"
14210,"['mongolia', 'pledges', 'full', 'support']"
14211,"['gather', 'united', 'nations', 'collectively', 'assess', 'state', 'world', 'share', 'thoughts', 'vision', 'agree', 'common', 'actions']"
14212,"['shall', 'begin', 'reviewing', 'today']"
14213,"['70', 'million', 'people', 'around', 'world', 'join', 'middle', 'class', 'year']"
14214,"['millennium', 'development', 'goals', 'mdgs', 'improved', 'lives', 'billions', 'people']"
14215,"['world', 'attained', 'povertyreduction', 'targets', '—', 'places', 'even', 'ahead', 'proscribed', 'deadline']"
14216,"['rather', 'seeing', '2015', 'end', 'view', 'beginning', 'new', 'era']"
14217,"['era', 'build', 'successes', 'attend', 'gaps', 'meet', 'emerging', 'challenges']"
14218,"['sadly', 'face', 'many', 'challenges']"
14219,"['today', '200', 'million', 'people', 'jobless', '50', 'million', 'children', 'school', 'one', 'eight', 'fellow', 'citizens', 'still', 'goes', 'hungry']"
14220,"['yet', '900', 'billion', 'dollars', 'earmarked', 'military', 'expenditures', 'every', 'year']"
14221,"['fraction', 'sum', 'spent', 'health', 'care', 'education']"
14222,"['state', 'affairs', 'tolerated']"
14223,"['comes', 'climate', 'temperature', 'increase', 'two', 'degrees', 'centigrade', 'would', 'disastrous', 'catastrophic']"
14224,"['environment', 'changing', 'rapidly']"
14225,"['production', 'side', 'global', 'consumption', 'far', 'exceeds', 'fragile', 'planet', '’', 'capacity']"
14226,"['resources', 'exhausted']"
14227,"['humankind', 'gravely', 'endangered']"
14228,"['running', 'time']"
14229,"['world', 'many', 'hungry', 'people', 'much', 'violence', 'little', 'commitment', 'human', 'rights']"
14230,"['need', 'change']"
14231,"['want', 'share', 'assembly', 'mongolia', '’', 'views', 'experience']"
14232,"['mongolia', 'great', 'nation', 'rich', 'history']"
14233,"['old', 'nation', 'young', 'heart']"
14234,"['fortunate', 'abundant', 'natural', 'resources', 'offer', 'great', 'growth', 'prospects', 'unique', 'opportunity', 'economic', 'development', 'social', 'progress']"
14235,"['doubledigit', 'percentage', 'growth', 'one', 'world', '’', 'fastest', 'developing', 'economies']"
14236,"['mongolia', 'achieved', 'many', 'development', 'goals', 'areas', 'universal', 'primary', 'education', 'reducing', 'child', 'mortality', 'improving', 'maternal', 'health']"
14237,"['however', 'fifth', 'national', 'mdg', 'progress', 'report', 'suggests', 'needs', 'done']"
14238,"['reach', 'development', 'goals', 'government', 'working', 'closely', 'national', 'stakeholders', 'including', 'political', 'parties', 'private', 'sector', 'research', 'institutions', 'civil', 'society', 'media']"
14239,"['likewise', 'invite', 'investors', 'work', 'together', 'common', 'interests']"
14240,"['days', 'ago', 'hosted', 'world', 'economic', 'forum', 'strategic', 'dialogue', 'future', 'mongolia']"
14241,"['event', 'gathered', 'representatives', 'multiple', 'stakeholders', 'explore', 'future', 'economic', 'pathways', 'country', '’', 'development']"
14242,"['mongolians', 'care', 'deeply', 'environment']"
14243,"['take', 'seriously', 'shared', 'responsibility', 'confront', 'threat', 'climate', 'change']"
14244,"['promoting', 'green', 'development', 'policy']"
14245,"['also', 'created', 'preserved', 'national', 'parks', 'curb', 'desertification']"
14246,"['time', 'scenic', 'parks', 'form', 'backbone', 'new', 'ecotourism']"
14247,"['generate', 'conservation', 'income', 'green', 'jobs']"
14248,"['country', 'creating', 'asian', 'supernetwork', 'green', 'development']"
14249,"['produce', 'renewable', 'energy', 'provide', 'asian', 'consumers']"
14250,"['mongolia', '’', 'first', 'wind', 'farm', 'privately', 'owned', 'operation']"
14251,"['wind', 'energy', 'potential', 'produce', 'electricity', 'well', 'beyond', 'country', '’', 'needs']"
14252,"['face', 'many', 'environmental', 'challenges', 'including', 'land', 'degradation', 'deforestation', 'natural', 'disasters', 'pollution']"
14253,"['issues', 'need', 'resolved', 'urgently', 'collectively']"
14254,"['environmental', 'education', 'wider', 'public', 'participation', 'vital', 'resolving', 'challenges']"
14255,"['year', 'hosted', 'united', 'nations', 'world', 'environment', 'day']"
14256,"['indeed', 'centre', 'green', 'economy']"
14257,"['mongolian', 'people', 'particularly', 'young', 'people', 'committed', 'building', 'better', 'environmental', 'future']"
14258,"['last', 'year', 'spoke', 'importance', 'mongolia', '’', 'battle', 'root', 'corruption', 'levels']"
14259,"['combating', 'corruption', '—', 'scourge', 'democracy', '—', 'zero', 'tolerance', 'policy', 'every', 'level', 'government']"
14260,"['result', 'mongolia', 'moved', '26', 'places', 'transparency', 'international', '’', 'rankings', 'states']"
14261,"['transparency', 'key', 'fighting', 'corruption']"
14262,"['citizens', 'right', 'know', 'taxes', 'spent', 'every', 'level', 'government', 'national', 'agencies', 'local', 'administration']"
14263,"['“', 'glass', 'account', '”', 'system', 'ensures', 'funds', 'accounted', 'openly', 'transparently']"
14264,"['citizens', 'deserve', 'access', 'information', 'say', 'communities', 'developed']"
14265,"['best', 'government', 'one', 'based', 'strong', 'civic', 'participation']"
14266,"['mongolia', 'believes', 'democratic', 'development']"
14267,"['20', 'years', 'ago', 'unimaginable', 'mongolia', 'would', 'one', 'day', 'chair', 'community', 'democracies']"
14268,"['wellknown', 'highly', 'respected', 'global', 'democratic', 'movement', 'dedicated', 'promoting', 'freedom', 'democracy']"
14269,"['hundreds', 'human', 'rights', 'activists', 'democratic', 'leaders', 'many', 'countries', 'gathered', 'ulaanbaatar', 'last', 'april']"
14270,"['ulaanbaatar', 'declaration', 'charts', 'future', 'course', 'promoting', 'democracy']"
14271,"['initiative', 'asia', 'democracy', 'network', 'ministerial', 'consultative', 'meeting', 'laid', 'solid', 'foundation', 'democratic', 'development']"
14272,"['believe', 'efforts', 'foster', 'civic', 'engagement', 'effective', 'democracy', 'education']"
14273,"['implementation', 'resolution', '6718', 'education', 'democracy', 'strengthen', 'democratic', 'institutions', 'improve', 'human', 'rights', 'situation', 'fellow', 'citizens', 'knowledge', 'power']"
14274,"['must', 'focus', 'promoting', 'human', 'rights']"
14275,"['past', 'two', 'decades', 'mongolia', 'learning', 'advancing', 'democracy', 'home']"
14276,"['view', 'supporting', 'emerging', 'democracies', 'initiated', 'established', 'international', 'cooperation', 'fund', 'already', 'started', 'implementing', 'several', 'projects']"
14277,"['actively', 'sharing', 'lessons', 'parliamentary', 'democracy', 'conducting', 'legal', 'reform', 'kyrgyzstan']"
14278,"['organized', 'training', 'diplomats', 'public', 'servants', 'afghanistan']"
14279,"['also', 'discussing', 'possibility', 'cooperation', 'myanmar', 'emerging', 'democracies']"
14280,"['call', 'member', 'states', 'support', 'policy', 'protecting', 'promoting', 'democratic', 'governance', 'human', 'rights']"
14281,"['humbly', 'ask', 'states', '’', 'support', 'mongolia', '’', 'candidature', 'human', 'rights', 'council', 'elections', 'held', '2015']"
14282,"['peace', 'security', 'remain', 'fundamental', 'human', 'right']"
14283,"['today', 'people', 'world', 'distressed', 'endless', 'cycles', 'conflict']"
14284,"['military', 'forces', 'weapons', 'used', 'settle', 'disputes']"
14285,"['thousands', 'human', 'beings', 'losing', 'lives', 'millions', 'displaced', 'many', 'suffering']"
14286,"['grave', 'situation', 'syria', 'latest', 'example']"
14287,"['hope', 'united', 'states', 'russian', 'initiative', 'bear', 'fruit', 'lead', 'peaceful', 'resolution', 'syrian', 'conflict']"
14288,"['mongolia', 'firmly', 'supports', 'nonproliferation', 'complete', 'elimination', 'weapons', 'mass', 'destruction']"
14289,"['tolerate', 'use', 'chemical', 'weapons', 'strongly', 'condemn', 'violation', 'universally', 'accepted', 'international', 'law']"
14290,"['morning', 'participated', 'highlevel', 'meeting', 'nuclear', 'disarmament', 'see', 'a68pv11']"
14291,"['country', 'internationally', 'recognized', 'nuclear', 'weaponfreestatus', 'uniquely', 'situated', 'two', 'nuclearweapon', 'states', 'permanent', 'members', 'security', 'council', 'mongolia', 'working', 'hard', 'nuclear', 'disarmament', 'nonproliferation', 'nuclear', 'weapons']"
14292,"['result', 'efforts', 'five', 'nuclearweapon', 'states', 'permanent', 'members', 'security', 'council', 'issued', 'joint', 'declaration', 'recognizing', 'mongolia', '’', 'unique', 'status']"
14293,"['pledged', 'respect', 'status', 'contribute', 'act', 'would', 'violate']"
14294,"['joint', 'commitment', 'ensures', 'used', 'pawn', 'future', 'nuclear', 'plans', 'strategies']"
14295,"['mongolia', '’', 'contribution', 'greater', 'confidence', 'stability', 'region']"
14296,"['strengthening', 'peace', 'stability', 'northeast', 'asia', 'one', 'mongolia', '’', 'national', 'security', 'priorities']"
14297,"['firmly', 'believe', 'dialogue', 'open', 'discussions', 'foster', 'confidence']"
14298,"['therefore', 'put', 'forth', 'initiative', 'ulaanbaatar', 'dialogue', 'northeast', 'asia', 'security']"
14299,"['invite', 'states', 'region', 'jointly', 'address', 'various', 'issues', 'common', 'interest', 'including', 'security', 'issues', 'northeast', 'asia']"
14300,"['mongolian', 'military', 'officers', 'troops', 'honoured', 'serve', 'along', 'fellow', 'united', 'nations', 'peacekeepers', 'maintain', 'international', 'peace', 'security']"
14301,"['proud', 'peacekeepers', 'dedicated', 'service', 'invaluable', 'contributions', 'cause', 'peace']"
14302,"['know', 'complexity', 'contemporary', 'conflicts']"
14303,"['peacekeepers', 'serving', 'areas', 'high', 'security', 'threats', 'risks']"
14304,"['support', 'encourage', 'peacekeepers', 'last', 'february', 'took', 'trip', 'south', 'sudan', 'visited', 'united', 'nations', 'mission']"
