,CASENO,OFFENSE,CVLEGEND,BLKADDR,City,State,Day,Lat,Lon,timestamp
4230,17092044,VANDALISM,VANDALISM,1500 OREGON ST,Berkeley,CA,Friday,37.856078,-122.279311,2017-10-06 08:30:00
4231,18000588,THEFT MISD. (UNDER $950),LARCENY,2600 TELEGRAPH AVE,Berkeley,CA,Wednesday,37.862927,-122.258784,2018-01-03 18:24:00
4232,17054680,VANDALISM,VANDALISM,1100 DELAWARE ST,Berkeley,CA,Monday,37.871689,-122.292898,2017-09-11 12:30:00
4233,17051420,MISSING ADULT,MISSING PERSON,FULTON STREET & DWIGHT WAY,Berkeley,CA,Tuesday,37.864238,-122.265263,2017-08-29 18:00:00
4234,18000752,THEFT MISD. (UNDER $950),LARCENY,2100 SHATTUCK AVE,Berkeley,CA,Wednesday,37.871167,-122.268285,2018-01-03 18:13:00
4235,17055484,DISTURBANCE,DISORDERLY CONDUCT,TELEGRAPH AVENUE & BANCROFT WAY,Berkeley,CA,Thursday,37.868714,-122.259189,2017-09-14 21:51:00
4236,17072771,MISSING ADULT,MISSING PERSON,1900 STUART ST,Berkeley,CA,Thursday,37.857951,-122.271494,2017-11-30 15:00:00
4237,17065231,BURGLARY AUTO,BURGLARY - VEHICLE,DURANT AVENUE & FULTON ST,Berkeley,CA,Thursday,37.866935,-122.265772,2017-10-26 17:15:00
4238,18006051,VEHICLE STOLEN,MOTOR VEHICLE THEFT,2500 RIDGE RD,Berkeley,CA,Saturday,37.876045,-122.260336,2017-12-30 00:00:00
4239,18090014,THEFT MISD. (UNDER $950),LARCENY,2100 WEST ST,Berkeley,CA,Monday,37.868638,-122.286202,2017-11-13 14:00:00
4240,17058960,BURGLARY AUTO,BURGLARY - VEHICLE,100 UNIVERSITY AVE,Berkeley,CA,Friday,37.86331,-122.316113,2017-09-29 10:00:00
4241,17076967,THEFT MISD. (UNDER $950),LARCENY,2800 ADELINE ST,Berkeley,CA,Wednesday,37.858079,-122.268016,2017-12-20 09:34:00
4242,18004834,DISTURBANCE,DISORDERLY CONDUCT,800 UNIVERSITY AVE,Berkeley,CA,Wednesday,37.867723,-122.298406,2018-01-24 14:41:00
4243,17091888,VANDALISM,VANDALISM,1700 EIGHTH ST,Berkeley,CA,Thursday,37.872231,-122.29677,2017-09-14 09:00:00
4244,17060373,THEFT MISD. (UNDER $950),LARCENY,2100 SPAULDING AVE,Berkeley,CA,Thursday,37.869578,-122.280839,2017-10-05 18:00:00
4245,17056319,ASSAULT/BATTERY MISD.,ASSAULT,1600 CORNELL AVE,Berkeley,CA,Monday,37.87551,-122.291424,2017-09-18 13:54:00
