incidntnum,category,descript,dayofweek,date,time,pddistrict,resolution,address,x,y,location,pdid
151077142,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Sunday,12/13/2015,17:55:00,BAYVIEW,NONE,1400 Block of INNES AV,-122.386100703211,37.7380020117208,"(37.7380020117208, -122.386100703211)",15107714228100
120002611,RUNAWAY,RUNAWAY,Sunday,01/01/2012,18:30:00,CENTRAL,NONE,2800 Block of TAYLOR ST,-122.415923448242,37.8085905137102,"(37.8085905137102, -122.415923448242)",12000261129100
70384135,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Sunday,04/15/2007,13:26:00,BAYVIEW,NONE,GEARY BL / 3RD AV,-122.461062711176,37.7811580519204,"(37.7811580519204, -122.461062711176)",7038413568020
30984060,FRAUD,"CREDIT CARD, THEFT BY USE OF",Thursday,07/10/2003,00:01:00,SOUTHERN,NONE,1300 Block of HOWARD ST,-122.414217817669,37.774239170665,"(37.774239170665, -122.414217817669)",3098406009320
31166124,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,09/15/2003,14:00:00,MISSION,NONE,OAKWOOD ST / 19TH ST,-122.424863391945,37.7598918837658,"(37.7598918837658, -122.424863391945)",3116612406244
41256505,MISSING PERSON,MISSING JUVENILE,Tuesday,11/02/2004,07:30:00,RICHMOND,LOCATED,2900 Block of WASHINGTON ST,-122.441824251007,37.7905911769485,"(37.7905911769485, -122.441824251007)",4125650574010
140898939,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Thursday,10/23/2014,22:00:00,SOUTHERN,NONE,11TH ST / FOLSOM ST,-122.41402726269,37.7718636177154,"(37.7718636177154, -122.41402726269)",14089893916664
100299844,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Wednesday,03/31/2010,07:40:00,NORTHERN,NONE,GOUGH ST / SUTTER ST,-122.425050227972,37.7871300371832,"(37.7871300371832, -122.425050227972)",10029984406240
146260738,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,12/08/2014,16:00:00,TARAVAL,NONE,1700 Block of 43RD AV,-122.502184285919,37.7540149633141,"(37.7540149633141, -122.502184285919)",14626073828150
71066926,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Wednesday,10/17/2007,21:35:00,CENTRAL,NONE,CLAY ST / HYDE ST,-122.417761976795,37.7928030545176,"(37.7928030545176, -122.417761976795)",7106692603414
156234444,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,09/17/2015,12:00:00,CENTRAL,NONE,400 Block of STOCKTON ST,-122.406977563692,37.789918101686,"(37.789918101686, -122.406977563692)",15623444406244
40298328,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,03/13/2004,01:40:00,SOUTHERN,NONE,KING ST / 3RD ST,-122.391845617234,37.7781247782985,"(37.7781247782985, -122.391845617234)",4029832804013
120715864,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,09/07/2012,05:55:00,TENDERLOIN,NONE,500 Block of EDDY ST,-122.416710733848,37.7833570390935,"(37.7833570390935, -122.416710733848)",12071586406242
100761376,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,Wednesday,08/04/2010,00:01:00,PARK,NONE,800 Block of COLE ST,-122.449981765652,37.7662643310539,"(37.7662643310539, -122.449981765652)",10076137609029
170390080,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,05/12/2017,12:00:00,PARK,NONE,2600 Block of GEARY BL,-122.44661297883863,37.782245822391744,"(37.782245822391744, -122.44661297883863)",17039008006244
91266811,SECONDARY CODES,PREJUDICE-BASED INCIDENT,Saturday,12/12/2009,02:18:00,NORTHERN,NONE,3200 Block of SCOTT ST,-122.441011054352,37.799719446002,"(37.799719446002, -122.441011054352)",9126681115300
161050815,ASSAULT,THREATS AGAINST LIFE,Monday,12/26/2016,08:00:00,MISSION,NONE,3000 Block of HARRISON ST,-122.41158419303424,37.74861952126121,"(37.74861952126121, -122.41158419303424)",16105081519057
60622224,FORGERY/COUNTERFEITING,"COUNTERFEITING, COINS OR NOTES",Tuesday,05/09/2006,11:00:00,BAYVIEW,NOT PROSECUTED,600 Block of VERMONT ST,-122.404126459271,37.7614652487171,"(37.7614652487171, -122.404126459271)",6062222409210
60210465,OTHER OFFENSES,PROBATION VIOLATION,Friday,02/24/2006,03:07:00,TENDERLOIN,"ARREST, BOOKED",100 Block of TAYLOR ST,-122.410791677645,37.7836952269749,"(37.7836952269749, -122.410791677645)",6021046526170
40064323,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Saturday,01/17/2004,00:22:00,BAYVIEW,"ARREST, BOOKED",ARKANSAS ST / MARIPOSA ST,-122.39858281105,37.7637353105423,"(37.7637353105423, -122.39858281105)",4006432362050
90640337,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,06/23/2009,04:44:00,MISSION,"ARREST, BOOKED",CAPP ST / 16TH ST,-122.418701003284,37.7651098786222,"(37.7651098786222, -122.418701003284)",9064033716710
71205384,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,11/24/2007,23:50:00,INGLESIDE,"ARREST, CITED",MISSION ST / VIRGINIA AV,-122.421488652002,37.74312201456,"(37.74312201456, -122.421488652002)",7120538465016
120926798,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Saturday,11/10/2012,14:10:00,BAYVIEW,NONE,1200 Block of CONNECTICUT ST,-122.39627030124,37.7504525015629,"(37.7504525015629, -122.39627030124)",12092679806303
130702497,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,08/23/2013,14:35:00,TENDERLOIN,"ARREST, BOOKED",0 Block of POWELL ST,-122.407845374111,37.7850943210103,"(37.7850943210103, -122.407845374111)",13070249728150
